,Brand,Model,Case Material,Strap Material,Movement Type,Water Resistance,Case Diameter (mm),Case Thickness (mm),Band Width (mm),Dial Color,Crystal Material,Complications,Power Reserve,Price (USD),category
0,Rolex,Submariner,Stainless Steel,Stainless Steel,Automatic,300 meters,40.0,13.0,20.0,Black,Sapphire,Date,48 hours,"9,500",Watches
1,Omega,Seamaster,Titanium,Rubber,Automatic,600 meters,43.5,14.47,21.0,Blue,Sapphire,Date,60 hours,"5,800",Watches
2,Tag Heuer,Carrera,Stainless Steel,Leather,Automatic,100 meters,41.0,13.0,20.0,White,Sapphire,Chronograph,42 hours,"4,200",Watches
3,Breitling,Navitimer,Stainless Steel,Stainless Steel,Automatic,30 meters,43.0,14.25,22.0,Black,Sapphire,Chronograph,70 hours,"7,900",Watches
5,Jaeger-LeCoultre,Reverso,Stainless Steel,Leather,Manual,30 meters,42.9,9.2,20.0,Black,Sapphire,None,45 hours,"5,500",Watches
6,Seiko,Prospex,Stainless Steel,Rubber,Automatic,200 meters,44.3,12.9,20.0,Black,Sapphire,Date,50 hours,"1,400",Watches
7,Citizen,Promaster,Stainless Steel,Stainless Steel,Eco-Drive,200 meters,42.0,13.0,22.0,Black,Mineral,Chronograph,270 days,"1,200",Watches
8,Tissot,Le Locle,Stainless Steel,Leather,Automatic,30 meters,39.3,9.75,19.0,White,Sapphire,Date,38 hours,650,Watches
9,Hamilton,Khaki Field,Stainless Steel,Leather,Automatic,100 meters,38.0,9.8,20.0,Black,Sapphire,None,80 hours,495,Watches
10,Longines,Master Collection,Stainless Steel,Leather,Automatic,30 meters,38.5,9.7,20.0,Silver,Sapphire,Date,64 hours,"1,150",Watches
11,Oris,Big Crown ProPilot,Stainless Steel,Textile,Automatic,100 meters,41.0,12.0,20.0,Black,Sapphire,"Date, GMT",38 hours,"1,800",Watches
12,Bell & Ross,Aviation,Stainless Steel,Rubber,Automatic,100 meters,42.0,11.5,24.0,Black,Sapphire,Chronograph,42 hours,"4,500",Watches
13,Sinn,104,Stainless Steel,Leather,Automatic,200 meters,41.0,11.5,20.0,Black,Sapphire,Date,42 hours,"1,400",Watches
14,Breguet,Classique,18k White Gold,Leather,Manual,30 meters,38.0,8.65,20.0,Silver,Sapphire,None,40 hours,"16,000",Watches
15,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Silver,Sapphire,Date,60 hours,"22,000",Watches
16,Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,41.0,11.0,22.0,Blue,Sapphire,Date,40 hours,"19,000",Watches
17,Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50 meters,42.0,14.5,20.0,Black,Sapphire,"Chronograph, Tachymeter",60 hours,"4,500",Watches
18,Breitling,Superocean,Stainless Steel,Rubber,Automatic,500 meters,42.0,13.3,20.0,Blue,Sapphire,Date,38 hours,"3,200",Watches
19,Panerai,Luminor Base Logo,Stainless Steel,Leather,Manual,100 meters,44.0,10.5,22.0,Black,Sapphire,None,56 hours,"3,900",Watches
20,Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41.0,11.9,22.0,Black,Sapphire,None,70 hours,"3,500",Watches
21,Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100 meters,40.0,12.5,20.0,Black,Sapphire,GMT,48 hours,"14,000",Watches
22,IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,41.0,12.5,20.0,Black,Sapphire,Date,42 hours,"4,800",Watches
23,Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50 meters,39.0,7.58,20.0,Silver,Sapphire,None,70 hours,"7,500",Watches
25,Montblanc,1858 Geosphere,Stainless Steel,Leather,Automatic,100 meters,42.0,11.2,22.0,Black,Sapphire,"World Time, GMT",42 hours,"6,200",Watches
27,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Black,Sapphire,Date,60 hours,"21,000",Watches
