,Brand,Current Price,Original Price,Discount Percentage,Rating,Number OF Ratings,Model Name,Dial Shape,Strap Color,Strap Material,Touchscreen,Battery Life (Days),Bluetooth,Display Size,Weight,category
122,apple,29650.0,29900.0,0.836120401,4.5,154.0,Watch SE GPS (2nd Gen),Rectangle,Midnight,Silicon,Yes,22.0,Yes,1.6 inches,<= 20 g,Smartwatches
128,apple,44730.0,44900.0,0.378619154,4.6,2847.0,"Watch Series7 (GPS, 45mm) - Green Aluminium Case with Clover Sport Band",Rectangle,Green,Aluminium,Yes,22.0,Yes,1.8 inches,20 - 35 g,Smartwatches
131,apple,49666.0,50900.0,2.424361493,4.5,1519.0,"Watch Series7 (GPS + Cellular, 41mm)Blue Aluminium Case-Abyss Blue Sport Band",Rectangle,Blue,Aluminium,Yes,22.0,Yes,1.6 inches,<= 20 g,Smartwatches
137,apple,32899.0,32900.0,0.003039514,4.6,5502.0,"Watch SE (GPS, 44mm) - Space Grey Aluminium Case with Midnight Sport Band",Rectangle,Grey,Silicon,Yes,22.0,Yes,1.7 inches,20 - 35 g,Smartwatches
161,noise,1499.0,4999.0,70.0140028,4.1,148555.0,ColorFit Pro 2,Rectangle,Black,Synthetic,Yes,22.0,Yes,1.3 inches,<= 20 g,Smartwatches
163,noise,1999.0,5999.0,66.67777963,4.1,69379.0,ColorFit Pro 3,Rectangle,Black,Thermo Plastic Polyurethene,Yes,3.5,Yes,1.6 inches,20 - 35 g,Smartwatches
183,honor,8999.0,14999.0,40.00266684,4.4,14613.0,Magic Watch 2 (46mm),Circle,Black,Fluoroelastomer,Yes,8.0,Yes,1.4 inches,20 - 35 g,Smartwatches
184,honor,12999.0,18999.0,31.58060951,4.2,84.0,Watch GS 3,Circle,Blue,Leather,Yes,8.0,Yes,1.4 inches,20 - 35 g,Smartwatches
185,honor,13999.0,15999.0,12.5007813,4.4,14613.0,Magic Watch 2 (46 mm),Circle,Brown,Leather,Yes,8.0,Yes,1.8 inches,20 - 35 g,Smartwatches
186,honor,17999.0,20999.0,14.28639459,4.4,1111.0,Watch GS Pro,Circle,Blue,Nylon,Yes,17.5,Yes,1.4 inches,20 - 35 g,Smartwatches
187,honor,4999.0,10999.0,54.55041367,4.3,2241.0,Watch ES,Rectangle,Pink,Silicon,Yes,22.0,Yes,1.6 inches,<= 20 g,Smartwatches
190,honor,10999.0,13999.0,21.43010215,4.4,14613.0,Magic Watch 2 (42 mm),Circle,Black,Fluoroelastomer,Yes,22.0,Yes,1.7 inches,<= 20 g,Smartwatches
191,samsung,12990.0,29999.0,56.69855662,4.4,35511.0,"Watch 4, 44mmSuper AMOLED bluetooth calling function & body composition tracking",Circle,Black,Rubber,Yes,3.5,Yes,1.4 inches,<= 20 g,Smartwatches
192,samsung,27999.0,29999.0,6.666888896,4.3,435.0,Watch 5 40mmSuper AMOLED displayBluetooth calling & body composition tracking,Circle,Graphite,Rubber,Yes,3.5,Yes,1.2 inches,<= 20 g,Smartwatches
193,samsung,35999.0,39999.0,10.00025001,4.3,435.0,Watch 5 44mmSuper AMOLED displayLTE calling & body composition tracking,Circle,Graphite,Rubber,Yes,3.5,Yes,1.4 inches,<= 20 g,Smartwatches
194,samsung,22749.0,37999.0,40.13263507,4.2,567.0,Galaxy Watch4 Classic Bluetooth (4.6cm),Circle,Black,Fluoroelastomer,Yes,3.5,Yes,1.4 inches,75g +,Smartwatches
195,samsung,32999.0,35999.0,8.333564821,4.3,435.0,Watch 5 40mmSuper AMOLED display LTE calling & body composition tracking,Circle,Graphite,Rubber,Yes,3.5,Yes,1.2 inches,<= 20 g,Smartwatches
196,samsung,44999.0,48999.0,8.163431907,4.4,88.0,Watch 5 pro 45mmSuper AMOLED displayBluetooth callingwith advanced GPS tracking,Circle,Black,Rubber,Yes,3.5,Yes,1.4 inches,20 - 35 g,Smartwatches
197,samsung,34997.0,42999.0,18.60973511,4.2,567.0,Galaxy Watch4 Classic LTE (4.6cm),Circle,Silver,Fluoroelastomer,Yes,3.5,Yes,1.4 inches,75g +,Smartwatches
198,samsung,49999.0,54999.0,9.091074383,4.4,88.0,Watch 5 pro45mmSuper AMOLED displayLTE callingwith advanced GPS tracking,Circle,Grey,Rubber,Yes,3.5,Yes,1.4 inches,20 - 35 g,Smartwatches
199,samsung,24999.0,26999.0,7.407681766,4.1,91.0,Galaxy Watch4 Bluetooth (4.0cm),Circle,Black,Fluoroelastomer,Yes,3.5,Yes,4.0 inches,<= 20 g,Smartwatches
200,samsung,31999.0,34999.0,8.571673476,3.8,40.0,Galaxy Watch4 Classic Bluetooth (4.2cm),Circle,Black,Fluoroelastomer,Yes,3.5,Yes,1.2 inches,20 - 35 g,Smartwatches
201,samsung,16999.0,34999.0,51.43004086,4.2,567.0,Galaxy Watch4 LTE (4.4cm),Circle,Black,Fluoroelastomer,Yes,3.5,Yes,1.4 inches,<= 20 g,Smartwatches
203,samsung,17490.0,34999.0,50.02714363,4.2,567.0,Galaxy Watch4 Classic Bluetooth(4.2cm),Circle,Silver,Fluoroelastomer,Yes,3.5,Yes,1.2 inches,20 - 35 g,Smartwatches
204,samsung,31999.0,39999.0,20.00050001,4.2,567.0,Galaxy Watch4 Classic LTE (4.2cm),Circle,Black,Fluoroelastomer,Yes,3.5,Yes,1.2 inches,20 - 35 g,Smartwatches
205,samsung,28999.0,31999.0,9.375292978,3.8,12.0,Galaxy Watch4 LTE (4.0cm),Circle,Pink,Fluoroelastomer,Yes,3.5,Yes,1.2 inches,<= 20 g,Smartwatches
206,samsung,11999.0,30990.0,61.28105841,4.3,1489.0,Galaxy Watch 3 41 mm,Circle,Black,Leather,Yes,3.5,Yes,1.6 inches,20 - 35 g,Smartwatches
